Ranger optimizer loaded. 
Gradient Centralization usage = True
GC applied to both conv and fc layers
80
1
Step: 50 char-loss:  tensor(1.6949, device='cuda:0')
Step: 100 char-loss:  tensor(1.0655, device='cuda:0')
Step: 150 char-loss:  tensor(1.5624, device='cuda:0')
Step: 200 char-loss:  tensor(0.5056, device='cuda:0')
Step: 250 char-loss:  tensor(0.2217, device='cuda:0')
Step: 300 char-loss:  tensor(0.0809, device='cuda:0')
Step: 350 char-loss:  tensor(0.0109, device='cuda:0')
Step: 400 char-loss:  tensor(0.0023, device='cuda:0')
Step: 450 char-loss:  tensor(0.0037, device='cuda:0')
Step: 500 char-loss:  tensor(0.0303, device='cuda:0')
Step: 550 char-loss:  tensor(0.0003, device='cuda:0')
Step: 600 char-loss:  tensor(0.0004, device='cuda:0')
Step: 650 char-loss:  tensor(0.0004, device='cuda:0')
Step: 700 char-loss:  tensor(0.0002, device='cuda:0')
Step: 750 char-loss:  tensor(0.0002, device='cuda:0')
Step: 800 char-loss:  tensor(0.0003, device='cuda:0')
Model has been saved as epoch1_auto_encoder.pt
tprs:  [0.12248085686820864]
accs:  [0.2380662815445424]
coverage_errors:  [30892.22316813621]
2
Step: 850 char-loss:  tensor(0.0003, device='cuda:0')
Step: 900 char-loss:  tensor(0.0013, device='cuda:0')
Step: 950 char-loss:  tensor(0.0002, device='cuda:0')
Step: 1000 char-loss:  tensor(0.0003, device='cuda:0')
Step: 1050 char-loss:  tensor(0.0003, device='cuda:0')
Step: 1100 char-loss:  tensor(0.0001, device='cuda:0')
Step: 1150 char-loss:  tensor(5.8551e-05, device='cuda:0')
Step: 1200 char-loss:  tensor(0.0004, device='cuda:0')
Step: 1250 char-loss:  tensor(0.0002, device='cuda:0')
Step: 1300 char-loss:  tensor(0.0001, device='cuda:0')
Step: 1350 char-loss:  tensor(0.0002, device='cuda:0')
Step: 1400 char-loss:  tensor(0.0003, device='cuda:0')
Step: 1450 char-loss:  tensor(0.0004, device='cuda:0')
Step: 1500 char-loss:  tensor(8.4400e-05, device='cuda:0')
Step: 1550 char-loss:  tensor(0.0002, device='cuda:0')
Step: 1600 char-loss:  tensor(0.0001, device='cuda:0')
Model has been saved as epoch2_auto_encoder.pt
tprs:  [0.12248085686820864, 0.21609173654628197]
accs:  [0.2380662815445424, 0.3688051079355427]
coverage_errors:  [30892.22316813621, 14159.9656430526]
3
Step: 1650 char-loss:  tensor(8.4573e-05, device='cuda:0')
Step: 1700 char-loss:  tensor(0.0001, device='cuda:0')
Step: 1750 char-loss:  tensor(0.0003, device='cuda:0')
Step: 1800 char-loss:  tensor(0.0001, device='cuda:0')
Step: 1850 char-loss:  tensor(0.0003, device='cuda:0')
Step: 1900 char-loss:  tensor(0.0004, device='cuda:0')
Step: 1950 char-loss:  tensor(5.6792e-05, device='cuda:0')
Step: 2000 char-loss:  tensor(0.0009, device='cuda:0')
Step: 2050 char-loss:  tensor(0.0001, device='cuda:0')
Step: 2100 char-loss:  tensor(9.9473e-05, device='cuda:0')
Step: 2150 char-loss:  tensor(9.2477e-05, device='cuda:0')
Step: 2200 char-loss:  tensor(0.0005, device='cuda:0')
Step: 2250 char-loss:  tensor(0.0002, device='cuda:0')
Step: 2300 char-loss:  tensor(0.0002, device='cuda:0')
Step: 2350 char-loss:  tensor(0.0001, device='cuda:0')
Step: 2400 char-loss:  tensor(0.0002, device='cuda:0')
Step: 2450 char-loss:  tensor(0.0003, device='cuda:0')
Model has been saved as epoch3_auto_encoder.pt
tprs:  [0.12248085686820864, 0.21609173654628197, 0.19501545884945096]
accs:  [0.2380662815445424, 0.3688051079355427, 0.34965034965034963]
coverage_errors:  [30892.22316813621, 14159.9656430526, 7811.830647613257]
4
Step: 2500 char-loss:  tensor(0.0001, device='cuda:0')
Step: 2550 char-loss:  tensor(0.0011, device='cuda:0')
Step: 2600 char-loss:  tensor(0.0001, device='cuda:0')
Step: 2650 char-loss:  tensor(0.0002, device='cuda:0')
Step: 2700 char-loss:  tensor(0.0008, device='cuda:0')
Step: 2750 char-loss:  tensor(6.9600e-05, device='cuda:0')
Step: 2800 char-loss:  tensor(0.0001, device='cuda:0')
